Element (TOTEM);Layer;composition;Component;ratio;Functional Unit;thickness;lifetime;Database;LCI-ID;R-Value;U-Value;lambda;Material;Waste category;Landfill;Incineration;Reuse;Recycling;Sorted on building site
PR_Dutch trusses_Softwood_LIB_New_01;C1;a;Roof tiles - slightly curved | Unglazed ceramic (304x221x38 mm) | Clipped | cover width 195 mm;1;sqm;0.038;60;Ecoinvent 3.6;WS1247;;;;Unglazed slightly curved ceramic tiles;Bricks, roof tiles;0.05;0;0;0.95;0.75
PR_Dutch trusses_Softwood_LIB_New_01;C1;a;Roof tiles - slightly curved | Unglazed ceramic (304x221x38 mm) | Clipped | cover width 195 mm;1;sqm;0.038;60;Ecoinvent 3.6;WS1247;;;;Steel roof tile clips;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C2;a;Battens | Softwood (32x26 mm - c.t.c. 248 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;1;sqm;0.026;60;Ecoinvent 3.6;WS1774;;;;Softwood;Untreated, uncontaminated wood;0;0.25;0;0.75;0.4
PR_Dutch trusses_Softwood_LIB_New_01;C2;a;Battens | Softwood (32x26 mm - c.t.c. 248 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;1;sqm;0.026;60;Ecoinvent 3.6;WS1774;;;;Steel nails;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C3;a;Battens | Softwood (30x20 mm - c.t.c. 400 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;1;sqm;0.02;60;Ecoinvent 3.6;WS1774;;;;Softwood;Untreated, uncontaminated wood;0;0.25;0;0.75;0.4
PR_Dutch trusses_Softwood_LIB_New_01;C3;a;Battens | Softwood (30x20 mm - c.t.c. 400 mm) | Nailed | Treated - uncontaminated | Belgian mix | For ceramic tiles;1;sqm;0.02;60;Ecoinvent 3.6;WS1774;;;;Steel nails;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C4;a;Board | Wood fibre (22 mm) | Nailed | For ceramic tiles, concrete tiles and natural slates;1;sqm;0.022;60;Ecoinvent 3.6;WS759;0.314;0.31;0.07;Bituminised wood fibre board;Composite wood products;0;0.95;0;0.05;0.4
PR_Dutch trusses_Softwood_LIB_New_01;C4;a;Board | Wood fibre (22 mm) | Nailed | For ceramic tiles, concrete tiles and natural slates;1;sqm;0.022;60;Ecoinvent 3.6;WS759;0.314;0.31;0.07;Steel nails;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C5;a;Beams | Softwood (172 mm) | Nailed | Treated - uncontaminated | Belgian mix | For between insulation;0.12;sqm;0.172;60;Ecoinvent 3.6;WS681;3.596;0.13;1.32;Softwood;Untreated, uncontaminated wood;0;0.25;0;0.75;0.4
PR_Dutch trusses_Softwood_LIB_New_01;C5;a;Beams | Softwood (172 mm) | Nailed | Treated - uncontaminated | Belgian mix | For between insulation;0.12;sqm;0.172;60;Ecoinvent 3.6;WS681;3.596;0.13;1.32;Steel nails;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C5;b;Blanket | Stone wool (170 mm) | For between Dutch trusses | Friction fitted;0.88;sqm;0.17;60;Ecoinvent 3.6;WS708;3.596;;0.036;Stone wool;Mineral insulation materials;0.5;0.5;0;0;0
PR_Dutch trusses_Softwood_LIB_New_01;C6;a;Proofing sheet | PP - LDPE (0.22 mm) | Stapled;1;sqm;0.00022;60;Ecoinvent 3.6;WS1732;;;;Polypropylene/low density polyethylene vapour barrier;Polyolefins (PP, PE);0.1;0.85;0;0.05;0
PR_Dutch trusses_Softwood_LIB_New_01;C6;a;Proofing sheet | PP - LDPE (0.22 mm) | Stapled;1;sqm;0.00022;60;Ecoinvent 3.6;WS1732;;;;Staples;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C7;a;Battens | Softwood (47x22 mm - c.t.c 450 mm) | Nailed | Untreated | Belgian mixMAT;1;sqm;0.022;30;Ecoinvent 3.6;WS501;0.16;;;Softwood;Untreated, uncontaminated wood;0;0.25;0;0.75;0.4
PR_Dutch trusses_Softwood_LIB_New_01;C7;a;Battens | Softwood (47x22 mm - c.t.c 450 mm) | Nailed | Untreated | Belgian mixMAT;1;sqm;0.022;30;Ecoinvent 3.6;WS501;0.16;;;Steel nails;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C8;a;Board | Gypsum plaster (12.5 mm) | Screwed | Including joint filler;1;sqm;0.0125;30;Ecoinvent 3.6;WS488;0.05;;;Gypsum plasterboard;Gypsum elements;0.8;0;0;0.2;0.5
PR_Dutch trusses_Softwood_LIB_New_01;C8;a;Board | Gypsum plaster (12.5 mm) | Screwed | Including joint filler;1;sqm;0.0125;30;Ecoinvent 3.6;WS488;0.05;;;Steel screws;Metals;0.05;0;0;0.95;0.85
PR_Dutch trusses_Softwood_LIB_New_01;C8;a;Board | Gypsum plaster (12.5 mm) | Screwed | Including joint filler;1;sqm;0.0125;30;Ecoinvent 3.6;WS488;0.05;;;Gypsum-based joint filler;Gypsum elements;0.8;0;0;0.2;0.5
PR_Dutch trusses_Softwood_LIB_New_01;C9;a;Film coating | Acrylic paint | On gypsum board;1;sqm;0.000105;10;Ecoinvent 3.6;WS506;;;;Acrylic paint;Finishing layer fixed to stony waste;0.05;0;0;0.95;0

